N,X,Y,DTA_Type,SEGNUM,Prohibit_Links,Time_Coef,Cost_Coef
12251,904158.000000,949009.000000,0,    0,                                                  ,0,0
12254,960322.530800,857265.045500,0,    0,                                                  ,0,0
12255,913775.000000,949004.000000,0,    0,                                                  ,0,0
12259,893590.000000,949045.000000,0,    0,                                                  ,0,0
12263,919747.000000,948997.000000,0,    0,                                                  ,0,0
12270,936489.687500,946292.375000,0,    0,                                                  ,0,0
12294,953935.500000,769306.375000,0,    0,                                                  ,0,0
12302,909121.312500,949029.187500,0,    0,                                                  ,0,0
12304,954099.437500,777286.125000,0,    0,                                                  ,0,0
12311,930521.228300,947378.702300,0,    0,                                                  ,0,0
12323,930539.656600,947332.631400,0,    0,                                                  ,0,0
12330,959623.375000,804108.500000,0,    0,                                                  ,0,0
12332,959504.812500,804118.062500,0,    0,                                                  ,0,0
12335,930490.514400,947261.989400,0,    0,                                                  ,0,0
12339,930521.228300,947212.847100,0,    0,                                                  ,0,0
12343,930523.937500,947055.562500,0,    0,                                                  ,0,0
12347,930481.062500,947063.812500,0,    0,                                                  ,0,0
12358,954069.312500,777305.625000,0,    0,                                                  ,0,0
12366,953889.562500,769306.312500,0,    0,                                                  ,0,0
12372,954102.937500,772840.062500,0,    0,                                                  ,0,0
12374,953985.000000,772864.625000,0,    0,                                                  ,0,0
12376,959316.937500,792223.937500,0,    0,                                                  ,0,0
12378,959251.437500,792286.187500,0,    0,                                                  ,0,0
12379,937076.000000,946297.000000,0,    0,                                                  ,0,0
12380,959503.500000,795749.625000,0,    0,                                                  ,0,0
12381,956156.000000,766562.000000,0,    0,                                                  ,0,0
12382,959372.187500,795747.500000,0,    0,                                                  ,0,0
12383,933102.057700,946380.629800,0,    0,                                                  ,0,0
12384,959391.937500,797334.312500,0,    0,                                                  ,0,0
12386,959277.000000,797322.000000,0,    0,                                                  ,0,0
12389,952965.000000,759680.000000,0,    0,                                                  ,0,0
12390,957013.250000,852692.000000,0,    0,                                                  ,0,0
12391,932103.864600,946444.588800,0,    0,                                                  ,0,0
12395,938261.000000,946331.000000,0,    0,                                                  ,0,0
12399,929413.000000,946447.000000,0,    0,                                                  ,0,0
12403,932610.538900,946413.197000,0,    0,                                                  ,0,0
12407,930498.703700,946485.626000,0,    0,                                                  ,0,0
12411,939679.000000,946363.000000,0,    0,                                                  ,0,0
12419,940521.000000,946282.000000,0,    0,                                                  ,0,0
12421,916976.000000,739665.000000,0,    0,                                                  ,0,0
12427,941265.000000,946241.000000,0,    0,                                                  ,0,0
12433,926492.000000,740272.000000,0,    0,                                                  ,0,0
12445,928194.721900,740659.582100,0,    0,                                                  ,0,0
12449,926838.000000,771666.000000,0,    0,                                                  ,0,0
12453,925986.000000,798502.000000,0,    0,                                                  ,0,0
12457,927444.000000,798515.000000,0,    0,                                                  ,0,0
12461,926708.000000,831183.000000,0,    0,                                                  ,0,0
12465,937892.000000,864118.000000,0,    0,                                                  ,0,0
12469,939256.000000,912328.000000,0,    0,                                                  ,0,0
12473,930512.000000,946781.000000,0,    0,                                                  ,0,0
12478,925333.000000,814595.875000,0,    0,                                                  ,0,0
12480,921233.312500,812666.687500,0,    0,                                                  ,0,0
12484,917383.125000,813769.062500,0,    0,                                                  ,0,0
12486,922803.375000,812793.437500,0,    0,                                                  ,0,0
12496,954128.750000,851646.875000,0,    0,                                                  ,0,0
12498,954400.375000,852027.125000,0,    0,                                                  ,0,0
12500,954542.687500,852205.625000,0,    0,                                                  ,0,0
12502,957481.500000,853292.187500,0,    0,                                                  ,0,0
12504,956889.062500,853165.437500,0,    0,                                                  ,0,0
12512,954577.875000,852898.062500,0,    0,                                                  ,0,0
12514,954843.812500,852797.000000,0,    0,                                                  ,0,0
12516,957481.500000,852681.625000,0,    0,                                                  ,0,0
12518,956894.250000,852725.625000,0,    0,                                                  ,0,0
12520,954951.375000,852456.562500,0,    0,                                                  ,0,0
12526,956362.000000,852710.937500,0,    0,                                                  ,0,0
12530,955847.187500,852786.437500,0,    0,                                                  ,0,0
12532,955321.062500,852768.125000,0,    0,                                                  ,0,0
12535,880579.000000,939292.000000,0,    0,                                                  ,0,0
12561,945323.000000,726882.000000,0,    0,                                                  ,0,0
12565,945350.000000,726879.000000,0,    0,                                                  ,0,0
12567,883272.000000,937318.000000,0,    0,                                                  ,0,0
12568,956338.000000,853033.500000,0,    0,                                                  ,0,0
12583,931035.187500,947564.687500,0,    0,                                                  ,0,0
12595,885953.000000,935336.000000,0,    0,                                                  ,0,0
12596,946077.874100,852222.802300,0,    0,                                                  ,0,0
12599,887343.000000,934532.000000,0,    0,                                                  ,0,0
12603,888884.000000,933762.000000,0,    0,                                                  ,0,0
12605,945392.528606,742589.075255,92,    8,                  100349_100345                   ,-0.1170,-0.5840
12609,945414.843718,742577.220352,0,    0,                                                  ,0,0
12613,945981.000000,743771.000000,0,    0,                                                  ,0,0
12616,928295.250000,798526.187500,0,    0,                                                  ,0,0
12617,946013.000000,743737.000000,0,    0,                                                  ,0,0
12637,953773.000000,751539.000000,0,    0,                                                  ,0,0
12641,953901.000000,751785.000000,0,    0,                                                  ,0,0
12669,954101.000000,758498.000000,0,    0,                                                  ,0,0
12673,954039.000000,761317.000000,0,    0,                                                  ,0,0
12675,943396.000000,927653.000000,0,    0,                                                  ,0,0
12677,953857.000000,761808.000000,0,    0,                                                  ,0,0
12679,942116.000000,927651.000000,0,    0,                                                  ,0,0
12681,953920.000000,758451.000000,0,    0,                                                  ,0,0
12685,954245.000000,759690.000000,0,    0,                                                  ,0,0
12689,953830.000000,759680.000000,0,    0,                                                  ,0,0
12695,940735.000000,927693.000000,0,    0,                                                  ,0,0
12696,957584.750000,774543.000000,0,    0,                                                  ,0,0
12699,940264.000000,927670.000000,0,    0,                                                  ,0,0
12700,939983.875000,798592.125000,0,    0,                                                  ,0,0
12707,939901.000000,927651.000000,0,    0,                                                  ,0,0
12709,954054.000000,764540.000000,0,    0,                                                  ,0,0
12713,954169.000000,764526.000000,0,    0,                                                  ,0,0
12715,937979.000000,927414.000000,0,    0,                                                  ,0,0
12717,953864.895500,762988.767500,0,    0,                                                  ,0,0
12721,954068.415700,763116.848100,0,    0,                                                  ,0,0
12725,953926.000000,758137.000000,0,    0,                                                  ,0,0
12729,954087.000000,758155.000000,0,    0,                                                  ,0,0
12731,935149.000000,927142.000000,0,    0,                                                  ,0,0
12733,953776.635100,751630.485600,90,    9,                                                  ,-0.1170,-0.5840
12737,953949.731400,751822.127900,91,    0,                                                  ,0,0
12740,958559.500000,852592.625000,0,    0,                                                  ,0,0
12747,898399.000000,926179.000000,0,    0,                                                  ,0,0
12749,945413.000000,742478.000000,90,    9,                                                  ,-0.1170,-0.5840
12750,929139.375000,854374.750000,0,    0,                                                  ,0,0
12753,945328.000000,742519.000000,91,    0,                                                  ,0,0
12754,929368.750000,854182.187500,0,    0,                                                  ,0,0
12757,944419.000000,738664.000000,0,    0,                                                  ,0,0
